,Evaluation/MA_per_G
0,2373.611330986023
1,3018.852472305298
2,2153.205454349518
3,1852.1089553833008
4,1432.8869581222534
5,1123.837649822235
6,935.501754283905
7,965.9052491188049
8,937.7208352088928
9,793.5333251953125
10,660.6051474809647
11,550.4830330610275
12,476.85325145721436
13,407.68057107925415
14,342.41117537021637
15,319.54994797706604
16,281.5842851996422
17,259.9126771092415
18,238.12773078680038
19,255.50395250320435
20,289.442241191864
21,234.61785912513733
22,242.22436547279358
23,212.4483659863472
24,191.88962131738663
25,182.40422010421753
26,172.09376394748688
27,189.78934735059738
28,202.16426998376846
29,217.09522604942322
30,216.63329750299454
31,192.31688976287842
32,193.4201940894127
33,191.40952080488205
34,187.8635808825493
35,185.2724701166153
36,189.77295607328415
37,202.3901864886284
38,208.8298350572586
39,194.0523386001587
40,182.5915202498436
41,198.54383915662766
42,214.67280387878418
43,215.37136286497116
44,209.41229164600372
45,210.98657697439194
46,206.92449063062668
47,208.8981345295906
48,203.43242585659027
49,200.944185256958
50,199.44410026073456
51,195.1814964413643
52,182.77449160814285
53,163.46731781959534
54,160.47106683254242
55,159.85898673534393
56,150.8081927895546
57,150.45174956321716
58,148.68760108947754
59,145.3908458352089
60,142.5771787762642
61,143.90287920832634
62,140.7540999352932
63,139.16421681642532
64,139.55606520175934
65,139.4861787557602
66,135.75326651334763
67,140.1216946542263
68,132.36570358276367
69,136.71483471989632
70,134.58357006311417
71,131.72965124249458
72,129.2075365781784
73,128.1636320054531
74,126.39105692505836
75,126.12637132406235
76,116.6464239358902
77,113.91955614089966
78,106.66081681847572
79,106.10298812389374
80,103.03891450166702
81,100.2839207649231
82,101.37219354510307
83,103.51397842168808
84,109.87930372357368
85,104.83767092227936
86,102.52697393298149
87,102.54237055778503
88,96.00374475121498
89,88.91557529568672
90,88.12476322054863
91,88.11558037996292
92,88.33850175142288
93,84.96466279029846
94,84.3460001051426
95,89.39208462834358
96,90.26996418833733
97,88.97417038679123
